0010000000110100010000 390 1.46617
0110000000110100110001 510 1.44886
0110100100110000110001 600 1.67598
1100100100110110110011 650 1.9174
1100100101110010111011 670 1.91429
1100101100110011111010 780 2.31454
1100101100110011111110 792 2.23099
1101100110100011011010 805 2.61364
1111100010100011000000 815 2.09512
1111101010100001001001 865 2.27632
1111100010100001101001 880 2.22222
1111101000100001011001 915 2.41425
1111101000100001111000 980 2.5
1111001000100001111110 982 2.46115
1111101000100001111010 1030 2.60101
