00000000000000000001 0.001994 1
00000000000000000010 0.004986 1
00000000000000000011 0.005983 2
00000000000000000100 0.007978 1
00000000000000000101 0.008975 2
00000000000000000110 0.010969 2
00000000000000000111 0.011967 3
00000000000000001000 0.013963 1
00000000000000001001 0.019946 2
00000000000000001010 0.021941 2
00000000000000001011 0.022938 3
00000000000000001100 0.024933 2
00000000000000001101 0.026955 3
00000000000000001110 0.027949 3
00000000000000001111 0.029919 4
00000000000000010000 0.038909 1
00000000000000010001 0.04089 2
00000000000000010010 0.04191 2
00000000000000010011 0.042908 3
00000000000000010100 0.044898 2
00000000000000010101 0.045895 3
00000000000000010110 0.047893 3
00000000000000010111 0.053855 4
00000000000000011000 0.055868 2
00000000000000011001 0.056847 3
00000000000000011010 0.058864 3
00000000000000011011 0.059858 4
00000000000000011100 0.06084 3
00000000000000011101 0.06285 4
00000000000000011110 0.07081 4
00000000000000011111 0.071807 5
00000000000000100000 0.07382 1
00000000000000100001 0.074819 2
00000000000000100010 0.075798 2
00000000000000100011 0.07781 3
00000000000000100100 0.078788 2
00000000000000100101 0.08577 3
00000000000000100110 0.087764 3
00000000000000100111 0.089759 4
00000000000000101000 0.090756 2
00000000000000101001 0.092751 3
00000000000000101010 0.093749 3
00000000000000101011 0.094775 4
00000000000000101100 0.096764 3
00000000000000101101 0.104743 4
00000000000000101110 0.105735 4
00000000000000101111 0.107736 5
00000000000000110000 0.108727 2
00000000000000110001 0.110722 3
00000000000000110010 0.111721 3
00000000000000110011 0.112698 4
00000000000000110100 0.119679 3
00000000000000110101 0.121692 4
00000000000000110110 0.122671 4
00000000000000110111 0.124684 5
00000000000000111000 0.125663 3
00000000000000111001 0.127677 4
00000000000000111010 0.128655 4
00000000000000111011 0.13065 5
00000000000000111100 0.136565 4
00000000000000111101 0.138579 5
00000000000000111110 0.139557 5
00000000000000111111 0.141571 6
00000000000001000000 0.142568 1
00000000000001000001 0.144563 2
00000000000001000010 0.145541 2
00000000000001000011 0.147536 3
00000000000001000100 0.154517 2
00000000000001000101 0.155514 3
00000000000001000110 0.156512 3
00000000000001000111 0.158507 4
00000000000001001000 0.159504 2
00000000000001001001 0.161499 3
00000000000001001010 0.162496 3
00000000000001001011 0.164491 4
00000000000001001100 0.170474 3
00000000000001001101 0.171472 4
00000000000001001110 0.173467 4
00000000000001001111 0.174464 5
00000000000001010000 0.175461 2
00000000000001010001 0.177456 3
00000000000001010010 0.178453 3
00000000000001010011 0.180448 4
00000000000001010100 0.187522 3
00000000000001010101 0.188519 4
00000000000001010110 0.190514 4
00000000000001010111 0.191511 5
00000000000001011000 0.192509 3
00000000000001011001 0.194528 4
00000000000001011010 0.195501 4
00000000000001011011 0.196498 5
00000000000001011100 0.203479 4
00000000000001011101 0.2055 5
00000000000001011110 0.206472 5
00000000000001011111 0.208486 6
