100000100010000000000000 2740252 1
100000100010010000100100 6463358 2
110000101010010000111100 10787280 3
111000101010010000111100 12463908 7
011000101011010000111100 12687603 8
011000101111000000111000 12693520 214
011001101111000000111000 12790946 247
011000101110100000111000 12897067 278
011010101110100000110000 12939550 592
011011101110100000100000 12971245 695
011011101110100100000000 13212756 741
010011101110101110010000 13230503 1026
010011101111100110010000 13326515 1029
010001101111100110010101 13329047 1156
110001100111101110000101 13362494 1175
110001101111100100000101 13413543 3161
110001101110101100000110 13414527 3785
110001101110100110000111 13505878 4215
110101101110100100000100 13518963 86299
110111000110100100000111 13549094 203802
